# time(s)	globalX	globalY	globalZ	magX	magY	magZ	gyroAngle	pitch	floorLabel
3.78	0.6365	0.0600	-2.1098	18.72	-2.52	-40.80	46.22	3.50	ground
3.80	0.3010	0.1802	-1.8523	21.31	-5.67	-38.99	46.24	-2.92	ground
3.82	0.2466	0.5121	-1.7836	20.42	-4.93	-38.98	46.23	1.50	ground
3.84	0.1729	0.1685	-1.3704	19.18	-4.87	-39.44	46.26	2.85	ground
3.86	-0.3010	-0.1676	-0.5831	20.80	-6.59	-41.27	46.32	3.50	ground
3.88	0.3833	0.3318	-0.4170	22.24	-5.53	-40.10	46.32	6.53	ground
3.90	-0.2529	-0.1893	0.1791	19.78	-4.60	-41.35	46.22	-1.93	ground
3.92	0.0850	0.0491	0.9581	20.55	-4.91	-40.15	46.29	-2.60	ground
3.94	-0.4918	-0.3879	1.3068	19.57	-7.30	-39.35	46.32	2.45	ground
3.96	-0.6123	-0.3100	1.8000	20.09	-5.57	-39.01	46.32	2.82	ground
3.98	0.0955	0.0154	2.1193	18.49	-3.98	-39.53	46.23	-2.37	ground
4.00	-0.2427	0.1104	2.4283	20.00	-4.41	-38.74	46.23	1.45	ground
4.02	-0.5968	-0.5107	2.7015	20.04	-3.78	-39.74	46.19	8.17	ground
4.04	0.1622	0.1492	2.4897	21.80	-5.99	-40.23	46.14	0.31	ground
4.06	0.6360	-0.2458	2.4324	18.20	-3.72	-39.13	46.15	2.77	ground
4.08	0.4169	0.3839	1.7690	19.72	-5.04	-39.09	46.13	4.73	ground
4.10	-0.0772	-0.1056	1.7041	21.29	-3.41	-40.52	46.11	7.51	ground
4.12	0.0027	-0.3371	1.1326	19.76	-5.00	-39.62	46.16	0.74	ground
4.14	0.2663	0.0227	0.5598	19.83	-7.05	-40.29	46.18	3.76	ground
4.16	0.3366	-0.2749	0.0566	19.17	-4.15	-42.01	46.17	-2.37	ground
4.18	-0.1031	0.3807	-0.4257	19.07	-5.44	-39.56	46.15	0.07	ground
4.20	0.0103	0.0002	-0.7829	18.17	-5.38	-41.29	46.13	-1.34	ground
4.22	0.0902	-0.0455	-1.6171	19.37	-6.45	-39.67	46.13	-5.66	ground
4.24	0.1662	0.1775	-1.8392	19.01	-3.38	-41.54	46.17	-4.81	ground
4.26	-0.0399	-0.3015	-2.2481	20.12	-5.52	-40.72	46.13	1.29	ground
4.28	-0.0360	-0.3867	-2.4455	19.21	-3.42	-40.43	46.21	1.35	ground
4.30	0.4139	0.1225	-2.3447	19.52	-5.43	-38.80	46.25	-3.12	ground
4.32	0.3629	-0.3299	-2.3860	19.55	-5.93	-40.53	46.12	4.67	ground
4.34	0.1432	-0.3300	-2.1121	19.95	-3.68	-41.07	46.14	-3.33	ground
4.36	0.5157	0.2510	-2.0640	19.47	-5.07	-39.64	46.20	0.77	ground
4.38	-0.1159	0.1575	-1.7694	18.94	-5.06	-40.22	46.23	-1.25	ground
4.40	0.4869	-0.3761	-1.2380	20.09	-6.28	-39.21	46.22	0.32	ground
4.42	0.1628	-0.1857	-0.6460	21.07	-5.46	-41.01	46.22	2.70	ground
4.44	0.9813	-0.2711	-0.0991	20.13	-4.57	-39.79	46.24	2.27	ground
4.46	-0.3577	0.5329	0.2749	19.39	-6.30	-37.53	46.29	2.12	ground
4.48	-0.2068	0.2718	0.9920	19.88	-5.54	-40.24	46.23	1.74	ground
4.50	0.1256	-0.1263	1.5037	17.95	-5.42	-39.81	46.21	-3.82	ground
4.52	0.1192	0.1729	2.2632	19.86	-4.93	-41.66	46.30	3.40	ground
4.54	0.5850	-0.4069	2.4873	19.60	-3.52	-40.85	46.31	-3.18	ground
4.56	-0.2005	-0.2018	2.2855	19.07	-5.30	-39.54	46.40	-0.32	ground
4.58	0.2715	0.0315	2.4551	19.25	-5.69	-40.33	46.55	-1.05	ground
4.60	0.3487	0.1357	2.2362	19.59	-2.25	-39.39	46.54	1.05	ground
4.62	0.2114	-0.0292	2.1995	20.99	-5.43	-39.58	46.49	-1.45	ground
4.64	-0.2883	0.0744	2.0513	21.09	-5.19	-41.32	46.49	-0.48	ground
4.66	0.4223	0.0235	1.7985	19.07	-5.36	-38.98	46.55	4.86	ground
4.68	0.3688	-0.0491	1.0396	19.48	-5.28	-41.24	46.62	-3.89	ground
4.70	0.1799	-0.0888	0.5236	19.51	-4.92	-40.76	46.74	-0.01	ground
4.72	0.0613	-0.1279	-0.2593	20.81	-4.08	-39.77	46.75	-3.34	ground
4.74	0.0678	0.0696	-0.5237	20.15	-4.60	-38.43	46.79	2.02	ground
4.76	-0.0236	0.1232	-1.1953	20.09	-3.92	-41.00	46.76	-2.18	ground
4.78	0.1922	0.0595	-1.5992	20.54	-3.96	-39.85	46.64	0.12	ground
4.80	0.0093	-0.3536	-2.0578	19.40	-4.79	-39.84	46.65	-3.97	ground
4.82	-0.2546	-0.2997	-2.2487	21.36	-4.62	-39.34	46.60	3.87	ground
4.84	-0.3146	0.1197	-2.6927	20.00	-3.89	-38.82	46.65	0.22	ground
4.86	-0.2256	0.4415	-2.7199	19.14	-6.11	-40.40	46.56	0.41	ground
4.88	0.0666	0.0457	-2.1238	19.77	-2.50	-38.99	46.53	2.49	ground
4.90	-0.0081	-0.1235	-2.4552	21.23	-5.51	-38.67	46.56	-3.75	ground
4.92	0.0646	0.0673	-2.1302	19.57	-5.35	-38.22	46.59	-1.85	ground
4.94	0.1502	-0.3410	-1.2937	20.95	-6.21	-39.50	46.59	0.51	ground
4.96	-0.1882	0.3927	-0.6570	19.37	-6.18	-39.84	46.70	-5.29	ground
4.98	0.4397	0.0560	-0.7364	19.23	-4.03	-40.47	46.78	-4.96	ground
5.00	-0.0803	-0.2008	-0.0552	20.66	-2.73	-41.46	46.76	-2.46	ground
5.02	-0.1300	-0.0500	0.6119	19.13	-5.57	-40.28	46.85	-3.42	ground
5.04	0.1447	-0.1581	1.3521	20.82	-4.65	-39.89	46.95	-1.03	ground
5.06	-0.5510	0.3935	1.4212	20.35	-4.78	-40.11	46.95	1.57	ground
5.08	-0.2372	-0.0607	1.9289	19.13	-4.00	-39.40	46.96	2.25	ground
5.10	0.2943	0.0466	2.3787	19.93	-2.78	-41.45	46.97	5.43	ground
5.12	-0.5212	0.1721	2.5084	19.45	-3.48	-40.18	46.95	-0.07	ground
5.14	0.3353	-0.2222	2.4434	20.35	-5.24	-38.01	46.93	0.46	ground
5.16	0.4533	0.0581	2.4090	21.89	-4.47	-39.00	47.00	-0.07	ground
5.18	-0.1108	0.0823	2.0284	19.63	-4.37	-39.38	47.04	0.96	ground
5.20	0.0875	-0.4662	1.8906	20.53	-5.02	-39.61	47.02	1.20	ground
5.22	0.3357	0.0758	1.4799	20.02	-6.10	-40.37	46.98	2.77	ground
5.24	-0.1400	-0.0137	1.0708	20.02	-5.80	-41.75	46.95	2.75	ground
5.26	0.2603	0.0390	0.4160	19.83	-3.85	-39.54	46.95	1.56	ground
5.28	-0.2013	0.0107	0.0079	19.14	-3.75	-42.45	47.01	4.53	ground
5.30	-0.1433	0.0778	-0.4698	20.34	-5.21	-40.33	46.98	0.08	ground
5.32	-0.2398	0.4012	-1.1256	19.71	-4.74	-40.00	47.03	-1.83	ground
5.34	0.1028	-0.3539	-1.5649	19.10	-3.80	-40.45	47.05	-1.34	ground
5.36	0.3474	-0.1026	-1.9959	21.01	-6.70	-37.83	47.07	-0.32	ground
5.38	-0.0552	0.2000	-2.2881	20.10	-5.45	-38.18	47.13	-3.25	ground
5.40	-0.3814	0.1443	-2.5640	19.77	-2.98	-38.97	47.18	-1.84	ground
5.42	-0.3248	0.1378	-2.4507	21.34	-4.70	-40.93	47.12	-3.42	ground
5.44	0.1184	0.8261	-2.4280	18.16	-6.13	-38.08	47.07	1.03	ground
5.46	0.5532	0.1842	-1.8918	21.27	-4.88	-39.38	47.07	1.06	ground
5.48	0.1181	0.3393	-1.6496	19.12	-3.98	-40.94	47.10	-5.31	ground
5.50	-0.1161	-0.0921	-1.4116	20.21	-7.55	-39.97	47.18	-1.96	ground
5.52	0.2299	-0.2979	-1.0929	19.41	-4.82	-39.04	47.19	5.48	ground
5.54	-0.0718	-0.0943	-0.6044	19.08	-5.37	-40.60	47.29	1.89	ground
5.56	-0.1135	0.2136	0.3043	21.31	-6.64	-39.86	47.26	1.36	ground
5.58	-0.2875	0.1220	0.7218	21.86	-4.92	-39.68	47.24	-1.99	ground
5.60	0.4225	0.1210	1.2764	19.78	-5.14	-41.10	47.24	0.86	ground
5.62	-0.7618	-0.0643	1.4033	20.34	-5.02	-40.27	47.21	-0.04	ground
5.64	0.2394	-0.1121	2.1800	20.06	-5.35	-41.03	47.27	-2.39	ground
5.66	-0.1391	-0.0540	2.3809	21.73	-6.02	-39.13	47.14	-1.48	ground
5.68	-0.1231	0.2173	2.3002	17.89	-6.45	-40.91	47.13	-1.41	ground
5.70	0.5077	0.2522	2.4243	20.38	-5.69	-39.71	47.20	-4.47	ground
5.72	-0.2142	-0.3019	2.4359	19.27	-4.14	-41.39	47.19	-3.97	ground
5.74	-0.2040	0.2287	2.1833	17.64	-4.77	-41.13	47.25	-0.60	ground
5.76	-0.0391	-0.1952	1.8000	19.64	-5.07	-41.18	47.37	-2.54	ground
5.78	0.1242	0.1407	1.4026	21.85	-6.04	-40.29	47.39	-0.90	ground
5.80	-0.1326	-0.0576	0.8825	19.34	-5.37	-39.82	47.45	-4.82	ground
5.82	-0.4722	0.4697	0.3984	20.79	-4.26	-39.64	47.59	2.40	ground
5.84	-0.2597	-0.1254	0.0324	21.20	-4.50	-41.77	47.61	6.24	ground
5.86	0.3844	0.0536	-1.1276	19.99	-5.48	-40.17	47.62	3.08	ground
5.88	0.0224	0.1820	-1.2946	20.12	-7.61	-40.75	47.68	3.39	ground
5.90	0.1353	-0.2622	-1.6849	18.28	-5.67	-39.47	47.75	1.88	ground
5.92	-0.0784	-0.0219	-2.0321	19.28	-5.48	-40.27	47.75	0.80	ground
5.94	-0.1978	-0.0800	-2.3916	20.91	-5.91	-40.08	47.74	0.26	ground
5.96	0.5033	-0.1541	-2.7397	20.06	-5.41	-40.74	47.83	-2.74	ground
5.98	-0.0565	-0.1319	-2.4411	20.37	-4.18	-38.28	47.83	2.07	ground
6.00	-0.1330	0.3336	-2.1185	20.13	-5.04	-41.28	47.90	1.89	ground
6.02	0.3288	-0.1796	-2.3739	22.19	-4.01	-40.40	47.92	-1.39	ground
